week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR,reportedWeeklyICheck
4,2.02456887722937,0.0441629399319695,8.11928831761775,100001,1.268972057,0,1.53619460534999,0
5,1.53787964343341,0.0232638519915027,7.59565097268055,100050,1.321691478,0,2.03753460560841,0
6,2.65971257018526,0.0472892563531107,11.9722264091614,100007,1.55849155,0,5.97014792126352,0
7,3.63528555504148,0.0775484600119502,14.7460371709594,100002,1.347870318,0,0.339317716258113,0
8,4.26460351984278,0.0909302753203891,16.5268444976231,100003,1.470274587,0,1.75056569663655,0
9,4.72126014987308,0.114423128985835,17.7232258835222,100001,1.659085543,0,3.57979983661444,0
10,4.89380802972486,0.123753383638181,18.1814937959625,100001,1.912848555,0,0.765642810514334,0
11,4.97642558506348,0.130051927773837,18.465810751348,100001,1.893234833,0,3.8146592901059,0
1,NaN,NaN,NaN,0,0,1,3.76862503992198,1
2,4.13427545479417,0.681191967344304,11.7473045075735,112139,1.422254801,2,1.43353315430924,2
