week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
9,1.5599258718708229,1.2158055754039971,1.9685300564926675,261363.0,5.429187191,70.0,1.351118002815832
10,0.8580076026012428,0.6145611735198918,1.121408798306308,200262.0,4.221591137,40.0,0.8146880271062604
11,2.6978591381277988,2.2602885628204876,3.1488337177800894,451317.0,9.560299929,143.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,3.0,12.086933942793959
2,2.9803708757342724,0.800262109221564,6.384029027281885,10876.0,0.17719719,3.0,2.540659030834623
3,3.623400052489114,1.5883962534403793,6.3702741626739465,29785.0,0.40638632,8.0,1.3706555818563755
4,2.7715668319608566,1.5052869294428837,4.428120228356799,39255.0,0.556414853,12.0,2.6763108447494197
5,3.440422194286537,2.2729672831906416,4.894962267754052,99510.0,1.521820467,28.0,4.63885514332503
6,5.484629224858459,4.432447850969949,6.608084125162911,452674.0,7.769847298,101.0,4.6480534316006565
7,2.025217705300471,1.6241180396005728,2.465076373975692,299525.0,5.175592223,90.0,1.4760376138382196
8,0.18101059788120932,0.09435345027196483,0.2984552886334485,198495.0,4.066153843,11.0,0.15737831308792136
9,1.3665965354611136,1.0936005504332458,1.684388101291704,301148.0,6.768334073,80.0,1.351118002815832
10,0.9365676567179158,0.6872569117116161,1.2026608704938693,247705.0,5.762844028,54.0,0.8146880271062604
11,2.650352359365664,2.3021879845540223,3.025891762160964,566255.0,12.308166565,172.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,3.0,12.086933942793959
2,5.355754525936315,2.224915412555684,10.01633094089037,33568.0,0.422926592,7.0,2.540659030834623
3,2.526329387469733,1.1644100145849863,4.392943139451961,27019.0,0.338129821,8.0,1.3706555818563755
4,2.0190095971138926,1.091855950699987,3.3433336810992857,37613.0,0.535854678,11.0,2.6763108447494197
5,4.452815844429707,3.247630233312191,6.061396193169609,160670.0,2.695166609,42.0,4.63885514332503
6,4.796558143702308,3.871508407952423,5.769485490611973,415177.0,6.616711033,109.0,4.6480534316006565
7,1.943267082867132,1.569813152296698,2.342947590932168,335897.0,6.122587946,101.0,1.4760376138382196
8,0.23035373493480896,0.13659290263679305,0.36484112081641185,241651.0,5.198388449,16.0,0.15737831308792136
9,1.381091940991736,1.1275192891907937,1.654589856477648,359163.0,7.889098022,93.0,1.351118002815832
10,0.8700739306451656,0.6516660093329405,1.102966723759897,297622.0,6.501677534,58.0,0.8146880271062604
11,2.6948544186584646,2.32289852894017,3.067920343335588,620907.0,13.25514148,200.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,4.0,12.086933942793959
2,3.9833538158024857,1.616775951844683,7.52281311934904,23048.0,0.317527266,6.0,2.540659030834623
3,2.9423868581198604,1.4631142014079512,4.914390417456605,33086.0,0.69967314,10.0,1.3706555818563755
4,2.3060209696724434,1.266891989809931,3.612234191928154,44314.0,0.700821739,14.0,2.6763108447494197
5,4.124928996082483,2.9648956091719203,5.576199844136706,168813.0,2.766774163,45.0,4.63885514332503
6,4.877161944349318,4.073653860344887,5.857601452191408,482458.0,7.780025197,124.0,4.6480534316006565
7,1.9096796173704684,1.571872626036985,2.285070662817724,372060.0,6.675593141,111.0,1.4760376138382196
8,0.24203344623377657,0.14840133356338658,0.36336693503908424,271944.0,5.186087045,19.0,0.15737831308792136
9,1.4293816269363355,1.1730914543417148,1.7035160255683937,441718.0,9.205620608,108.0,1.351118002815832
10,0.8439517777739806,0.6567903973617738,1.0537307241591143,317855.0,7.061621377,64.0,0.8146880271062604
11,2.606759421936521,2.2813963226964646,2.9553858561976485,692140.0,15.364548011,219.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,1.0,10.165798228260103
2,1.620502585904992,0.030485472677820962,6.087830116810855,1875.0,0.075938185,0.0,1.9060875019497683
3,2.863176192934844,0.2884203149187578,7.575345498773772,4757.0,0.088517122,1.0,3.9799192323355976
4,3.351843561127206,0.606087086058753,7.79576138984906,8145.0,0.119042407,2.0,1.992219257095125
5,6.415077321206735,3.081322148240032,10.718834103762672,61919.0,0.960417637,10.0,6.822018975429378
6,5.610663581701739,3.719585372887637,7.920060021104719,130644.0,2.31480557,28.0,5.191332794582726
7,2.6616621876140583,1.8859987050582057,3.603301462923237,109117.0,2.305465349,35.0,3.3228322294822275
8,4.166602290886687,3.4498356712732927,4.968456496403219,373954.0,7.923409382,109.0,4.049821550839205
9,1.5058117501823618,1.184191825487939,1.8613978801433755,281556.0,6.472183134,79.0,1.8562586056410049
10,1.358673802499514,1.1058241635777801,1.6260364253032715,353616.0,8.074287119,98.0,1.4863110438176474
11,7.838086101021904,7.320097237721924,8.387090277420699,6.827798e6,146.016359379,944.0,7.45726246833541
1,NaN,NaN,NaN,0.0,0.0,1.0,10.165798228260103
2,1.663696609141999,0.0480796655904782,6.061974431368821,1842.0,0.076196337,0.0,1.9060875019497683
3,4.044638187718388,0.9374079891089598,9.76909854940697,9453.0,0.145943023,2.0,3.9799192323355976
4,4.455761598220099,1.6080415309497194,8.591911898247321,20348.0,0.297671898,5.0,1.992219257095125
5,8.339802830311834,5.462909307425465,12.240452745970282,244220.0,4.196297085,29.0,6.822018975429378
6,3.253114574277838,2.2833518953307568,4.4074890333077335,114813.0,1.895184295,38.0,5.191332794582726
7,2.7117109600073843,2.118978407785114,3.3871916707903416,212723.0,4.209317057,66.0,3.3228322294822275
8,4.419767552326236,3.8077921094527563,5.0656123995361755,755497.0,14.944824296,208.0,4.049821550839205
9,1.8567380676105978,1.6015310213000526,2.1151665982362555,623724.0,12.683281907,183.0,1.8562586056410049
10,1.4612464633574174,1.2692931039487412,1.654665857126973,773389.0,17.365779142,215.0,1.4863110438176474
11,7.460958771252929,7.126908296182829,7.813286878737078,1.2094893e7,258.138516398,1868.0,7.45726246833541
1,NaN,NaN,NaN,0.0,0.0,1.0,10.165798228260103
2,4.280799426799248,0.8476373066428132,9.954603461070509,9685.0,0.152532952,2.0,1.9060875019497683
3,1.6080762495291065,0.20465474531880223,4.452396833516261,5327.0,0.082499204,1.0,3.9799192323355976
4,2.532198110691563,0.7805300784136371,5.447786919530236,11008.0,0.183033296,3.0,1.992219257095125
5,8.409399513890946,5.310738086029851,12.234177077736804,238932.0,3.653640924,24.0,6.822018975429378
6,6.111695055881946,4.733038709567022,7.627535485028543,318105.0,5.52751646,67.0,5.191332794582726
7,3.378318744168348,2.7864455867812357,4.043240181130463,336566.0,6.651658879,108.0,3.3228322294822275
8,4.258675855606144,3.771751871734354,4.775394503211085,1.068379e6,21.224247205,303.0,4.049821550839205
9,1.7074697954412792,1.5126665722444437,1.9193105851909502,795253.0,16.343548221,252.0,1.8562586056410049
10,1.3886528538189793,1.2333313470187308,1.550546431402344,1.099424e6,23.750148015,294.0,1.4863110438176474
11,7.719799094807159,7.41907441587277,8.054386135420714,1.8927271e7,404.911643737,2756.0,7.45726246833541
1,NaN,NaN,NaN,0.0,0.0,1.0,10.165798228260103
2,4.24155009653641,0.886442773399457,9.769729171585038,9884.0,0.154277298,2.0,1.9060875019497683
3,4.253683639171133,1.498692256327232,8.238912654580691,19731.0,0.263152865,5.0,3.9799192323355976
4,1.8478431641591997,0.6113825408529084,3.615877797727442,15268.0,0.236130264,4.0,1.992219257095125
5,7.894254944240388,5.65519058283565,10.586376976679478,326221.0,5.21328765,41.0,6.822018975429378
6,4.8425881731313085,3.791247467936295,5.973284665375767,328504.0,5.522002612,85.0,5.191332794582726
7,3.3941460630461777,2.9331552838613937,3.9548250755881664,533737.0,9.936757128,154.0,3.3228322294822275
8,4.176228228773697,3.7719731597357544,4.59248880883584,1.351042e6,27.569776131,411.0,4.049821550839205
9,1.654327710090021,1.478639140909416,1.8375283140988201,1.174228e6,24.548144313,335.0,1.8562586056410049
10,1.386645522119394,1.252511439439996,1.5287490711924978,1.427656e6,30.724372491,398.0,1.4863110438176474
11,7.673690990951185,7.419514951453918,7.941235962635691,2.5443023e7,544.020706338,3687.0,7.45726246833541
1,NaN,NaN,NaN,0.0,0.0,3.0,10.165798228260103
2,3.0061503095592843,0.8437149866190936,6.837696387943401,10605.0,0.221718519,3.0,1.9060875019497683
3,2.529593993361259,0.9141462169637088,4.919204253743791,16840.0,0.212275944,5.0,3.9799192323355976
4,3.1454386165554387,1.6361332412171525,5.318565115293041,35318.0,0.728658419,11.0,1.992219257095125
5,6.224797629124818,4.567964900591722,8.232861671887278,247226.0,3.755219343,49.0,6.822018975429378
6,4.410550104302151,3.568772757437963,5.340036541106402,354887.0,6.048811582,101.0,5.191332794582726
7,3.289659143435628,2.7998890788121678,3.8039140738127264,628044.0,11.401888045,182.0,3.3228322294822275
8,4.263805229993888,3.8914810931725135,4.624195207015639,1.72147e6,34.337218537,502.0,4.049821550839205
9,1.7571286508683561,1.5951931708758835,1.9251500822694942,1.440716e6,29.648198729,432.0,1.8562586056410049
10,1.410519864544776,1.290426202060806,1.5378267751317247,1.861337e6,40.701220857,502.0,1.4863110438176474
11,7.696325385898816,7.466075881826507,7.924638811192142,3.2547198e7,694.985162689,4647.0,7.45726246833541
1,NaN,NaN,NaN,0.0,0.0,1.0,10.165798228260103
2,6.261463865041917,2.1758520807676773,13.453107700426008,32412.0,0.413388345,4.0,1.9060875019497683
3,3.9241928642506063,1.6639245559698452,7.09622081793691,26548.0,0.349582564,7.0,3.9799192323355976
4,2.4768248873785548,1.1789972548400829,4.250625081846504,26896.0,0.384166975,9.0,1.992219257095125
5,6.49885578553806,4.782537458889921,8.464240264874135,292990.0,4.549116166,53.0,6.822018975429378
6,5.44140750701573,4.571948347907606,6.41512755907216,566133.0,9.196923628,139.0,5.191332794582726
7,3.0161368910450097,2.626314096433201,3.459350630278669,640638.0,11.554741628,205.0,3.3228322294822275
8,4.223095158808135,3.888707212712699,4.59211175954571,2.039369e6,41.357056878,597.0,4.049821550839205
9,1.7127983950780834,1.5667578980758685,1.8638759551785429,1.681589e6,34.55739394,499.0,1.8562586056410049
10,1.47221366046459,1.3580567384517657,1.586916202719194,2.232577e6,48.274080318,616.0,1.4863110438176474
11,7.689964518163386,7.466515896705902,7.911276722471377,4.0365191e7,863.295286243,5520.0,7.45726246833541
1,NaN,NaN,NaN,0.0,0.0,2.0,10.165798228260103
2,4.587529202213267,1.4667810727333472,9.467276571282273,17214.0,0.282826067,4.0,1.9060875019497683
3,3.377187947610758,1.5070775632852695,6.151154620159409,23057.0,0.288051467,7.0,3.9799192323355976
4,2.669221536737036,1.3573675858162555,4.506526591649193,38426.0,0.818263442,11.0,1.992219257095125
5,7.090481979711975,5.345403623234594,9.188137512520777,401184.0,6.347177116,66.0,6.822018975429378
6,4.884455280987199,4.081701040656154,5.782526780882282,574041.0,9.404547047,147.0,5.191332794582726
7,3.39305280477832,2.9914317947185105,3.824036958409835,857893.0,15.961508291,262.0,3.3228322294822275
8,4.218610277466135,3.9222435415802406,4.5335986314610075,2.526908e6,49.987041846,710.0,4.049821550839205
9,1.7083525845913474,1.5706238393850995,1.8439923692601465,1.989405e6,40.912615017,596.0,1.8562586056410049
